osmid,name,amenity,Longitude,Latitude
1567664547,Le Coupières,bar,2.1268242,48.7017015
1568009811,Le Commensal,bar,2.2799037,48.8321145
1579618649,La Bouffarde,bar,2.3231923,48.8239653
1589659194,Le Joinville,bar,2.464327,48.820308
1596069013,Jovial Café,bar,2.3816785,48.8759986
1598071236,Au Métro,bar,2.3181604,48.8341125
1611509238,Le Bras d'Or,bar,2.3460102,48.9140319
1611511649,Le Landy,bar,2.3378348,48.915026
1616985541,La Fourmi,bar,2.3397496,48.8823251
1618002590,La Francaise,bar,2.3561308,48.8873987
1620425824,Au bon coin,bar,2.3983197,48.8658704
1625264069,Le Mail,bar,2.3515619,48.6738782
1627272556,Le Dauphin,bar,2.3147893,48.6527509
1631588627,Le St Nicolas,bar,2.1900213,48.4869195
1635124553,Le Fer à Cheval,bar,2.3310374,48.7970075
1637095702,Le Carves,bar,2.3261009,48.8114048
1642006611,Café de la Pie,bar,2.4813684,48.7886881
1642962908,Le Floréal,bar,2.513832,48.794553
1646776899,Le Balto,bar,2.4965025,48.8238147
1650160704,Point Bar,bar,2.341182,48.8956894
1651602868,Au Puits d'Amour,bar,2.6917202,48.3171668
1652161934,Au coin d'or,bar,2.3525036,48.6747718
1655718838,Le longchamp,bar,2.2823374,48.7623479
1659350191,Le Relais Gourmand,bar,2.0118096,48.5296544
1665552664,Les Lumières,bar,2.3217344,48.9932472
1667270078,Hide out,bar,2.3484588,48.8428672
1667562696,Le Village,bar,2.3443629,48.894667
1667563844,Le Diplomate,bar,2.343368,48.89495
1667577644,Le Clin's bar,bar,2.3473963,48.8937368
1667577648,Le Simplon,bar,2.3475036,48.8938461
1668675883,Le Reinitas,bar,2.342687,48.893506
1668711668,Dionis,bar,2.342913,48.893776
1668734745,Le bénin,bar,2.346234,48.894172
1668735604,Le Costa Rica,bar,2.346385,48.894134
1668766274,Le flash,bar,2.347729,48.89361
1668852308,caffe Poteau,bar,2.343523,48.89304
1670102655,Le Cadran du faubourg,bar,2.3544917,48.87322
1670106050,Le réveil du Xe,bar,2.358021,48.871216
1670111247,Le petit château d'eau,bar,2.359427,48.870673
1670117368,Le navy,bar,2.360048,48.870326
1670126985,L'Eclipse,bar,2.361096,48.869755
1670131209,Le côte d'azur,bar,2.361643,48.869473
1670305377,Au métro,bar,2.361396,48.870973
1670347985,L'Ariel,bar,2.362032,48.871568
1670389118,Le cinquante,bar,2.362681,48.871916
1670401972,La patache,bar,2.363565,48.872686
1673656597,Chez Lilette,bar,2.3978396,48.8722479
1674855139,Le Rallye,bar,2.3494118,48.8914347
1674935278,Bistrot le Sainte-Isaure,bar,2.344049,48.892985
