NOM DU MUSEE,ADR,CP,VILLE,SITWEB,latitude,longitude
Musée des Pénitents Blancs,Place de l'Eglise,63940,MARSAC-EN-LIVRADOIS,http://www.livradois.com/marsac/penitent/index.htm,45.478841,3.728706
Musée Paléontologique,Le Bourg,63560,MENAT,,46.103787,2.904038
Musée Lapidaire,Place de l'Abbaye,63200,MOZAC,http://www.riom-communaute.fr,45.89205,3.094625
Musée Municipal,Parc du Prélong,63790,MUROL,http://www.musee-murol.net/Musee.htm,45.574781,2.943256
Musée Régional d'Auvergne,"10 bis, Rue Delile",63200,RIOM,http://www.riom-communaute.fr,45.895037,3.116254
Musée Francisque Mandet,"14, Rue de l'Hôtel de Ville",63200,RIOM,http://www.riom-communaute.fr,45.893874,3.116508
Musée Municipal de la Coutellerie,"58, Rue de la Coutellerie",63300,THIERS,http://www.ville-thiers.fr/Musee-de-la-Coutellerie,45.852379,3.548141
Musée Municipal Marcel Sahut,"2, rue des Ecoles",63530,VOLVIC,http://www.volvic-tourisme.com/HTML/sites/site_musee.htm,45.860585,3.024306
Muséoparc - Alésia,"1, Route des Trois Ormeaux",21150,ALISE-SAINTE-REINE,http://www.alesia.com,47.536592,4.469595
Musée des Beaux-Arts,"Porte Marie de Bourgogne

6, boulevard Perpreuil",21200,BEAUNE,http://www.musees-bourgogne.org ou www.beaune.fr,47.02097,4.839394
Musée E.J Marey,Hôtel de Ville,21200,BEAUNE,http://www.musees-bourgogne.org,47.026213,4.839367
Musée du Vin de Bourgogne,"Hôtel des Ducs

Rue d'Enfer",21200,BEAUNE,http://www.musees-bourgogne.org ou www.beaune.fr,47.023506,4.836339
Musée de la Sidérurgie Grande Forge,La Grande Forge,21500,BUFFON,,47.649618,4.260887
Musée du Pays Châtillonnais - Trésor de Vix,"14, Rue de la Libération",21400,CHATILLON-SUR-SEINE,http://www.musee-vix.fr,47.863812,4.574628
Musée Magnin,"4, rue des Bons Enfants",21000,DIJON,http://www.musee-magnin.fr,47.320958,5.042188
